Gobabis, -22.399794875765405, 18.967886582468534
Grootfontein, -19.57183397762572, 18.104352386198553
Henties Bay, -22.096164497652662, 14.282861013566984
Katima Mulilo, -17.505979622231795, 24.278196717935042
Keetmanshoop, -26.563415005038856, 18.133792314472895
Luderitz, -26.64195368730888, 15.163232776058546
Mariental, -24.598866518575246, 17.938184247661734
Ohakweenyanga, -17.832583078877143, 15.795700781281543
Okahandja, -21.972069736951283, 16.904870052392166
Omaruru, -21.42073949641226, 15.951338704704083
Ongwediva, -17.773144946720308, 15.764807929910711
Ondangwa, -17.904561736788608, 15.975922825979268
Oranjemund, -28.519767257452262, 16.430401798542594
Oshakati, -17.789576041855824, 15.70615650072774
Otjiwarongo, -20.454632797046017, 16.664606971360268
Outjo, -20.11269023079579, 16.161146027551275
Rehoboth, -23.319103484892164, 17.08438465418616
Rundu, -17.925243717030593, 19.754447339501645
Swakopmund, -22.587228862745533, 14.649674935370264
Tsumeb, -19.20602171453525, 17.78867057842456
Walvis Bay, -22.90110206425594, 14.528125531336636
Windhoek, -22.558668228109376, 17.0673736348885